file,#,description,eif,value,income-type,income-amount
"Department of Defense/Scher, Robert",1,Booz Allen Hamilton ECAP,N/A,,,None (or less than $201)
"Department of Defense/Scher, Robert",1.1,Blackrock LifePath 2030,Yes,"$50,001 - $100,000",,None (or less than $201)
"Department of Defense/Scher, Robert",1.2,Voya Russell Large Cap Vale Index,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Defense/Scher, Robert",1.3,American Funds EuroPacific Growth Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",1,Luntz Global Partners (Communications Consulting),N/A,,Salary,"$75,931"
"Department of Education/Brickman, Michael",2,Luntz Global Partners (Communications Consulting),N/A,,Severance,"$14,025"
"Department of Education/Brickman, Michael",3,Schwab International Equity ETF (SCHF),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",4,Schwab U.S. Aggregate Bond ETF (SCHZ),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",5,Schwab US Large-Cap ETF (SCHX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",6,Schwab US Small-Cap ETF (SCHA),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",7,SSgA Cash Series U.S. Government Fund - Class L,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",8,PIMCO Total Return A (PTTAX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",9,T. Rowe Price Retirement 2050 R (RRTFX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",10,BlackRock Equity Dividend Inv A (MDDVX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",11,State Street S&P 500 Index Securities Lending Series Fund - Class IX,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",12,Victory RS Large Cap Alpha A (GPAFX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",13,Alger Capital Appreciation Instl I (ALARX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",14,State Street S&P MidCap Index Non-Lending Series Fund - Class J,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",15,American Century Heritage A (ATHAX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",16,Goldman Sachs Small Cap Value A (GSSMX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",17,State Street Russell Small Cap Index Securities Lending Series Fund - Class VIII,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",18,Federated International Leaders A (FGFAX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",19,MainStay Epoch International Choice R2 (ICEYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",20,CREF Equity Index R1 (QCEQRX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",21,"State of Wisconsin, defined benefit plan",N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Brickman, Michael",22,Luntz Global Partners (Communications Consulting),N/A,,Bonus,"$3,117"
"Department of Education/Chamberlain, Michael",1,"CH Media LLC (web design, social media and print marketing services)",N/A,"$15,001 - $50,000",LLC distributions,"$45,326"
"Department of Education/Chamberlain, Michael",2,"BattleGround LLC (campaign consulting, campaign management and social media services for political candidates and elected officials for local offices in Nevada)",N/A,"None (or less than $1,001)",LLC distributions,"$6,497"
