file,#,organization-name,city-state,organization-type,position-held,from,to
"Department of Education/Brickman, Michael",1,Luntz Global Partners,"Manassas, Virginia",Corporation,Senior Project Director,5/2015,1/2017
"Department of Education/Brickman, Michael",2,Thomas B. Fordham Institute,"Washington, District of Columbia",Non-Profit,National Policy Director,8/2013,5/2015
"Department of Education/Chamberlain, Michael",1,CH Media LLC,"Las Vegas, Nevada",LLC,Manager- Member,1/2013,3/2017
"Department of Education/Chamberlain, Michael",2,BattleGround LLC,"Las Vegas, Nevada",LLC,Manager- Member,6/2014,1/2017
"Department of Education/Chamberlain, Michael",3,Franklin Center for Government and Public Integrity,"Alexandria, Virginia",Non-Profit,Freelance writer,1/2015,2/2015
"Department of Education/Cox-Roush, Deborah",1,"C&L Creative Solutions of Florida, LLC d/b/a DCR Creative Solutions of Florida","Lithia, Florida",Corporation,Managing Member,8/2012,12/2016
"Department of Education/Cox-Roush, Deborah",2,58th Presidential Inaugural Committee,"Washington DC, District of Columbia",Non-Profit,"Asst. Director Public Events, volunteers",12/2016,1/2017
"Department of Education/Cox-Roush, Deborah",3,Florida Commission on the Status of Women,"Tallahasee, Florida",Non-Profit,Vice Chair,1/2015,1/2017
"Department of Education/Cox-Roush, Deborah",4,Florida Small Business Development Council Network State Advisory Board,"Tallahassee, Florida",Non-Profit,Board Member,3/2015,Present
"Department of Education/Cox-Roush, Deborah",5,Hillsborough County Citizens Advisory Committee,"Tampa, Florida",Citizens board appointment,Board Member,5/2014,3/2015
"Department of Education/Delahunty, Sarah",1,"The Honorable Keith Perry, Florida House of Representatives","Tallahassee, Florida",State Government,Unpaid Intern,1/2015,5/2015
"Department of Education/Eck, Kevin",1,Uber,"Carmel, Indiana",Ride Sharing,Partner/Driver (Independent Contractor),9/2015,12/2016
"Department of Education/Eck, Kevin",2,"Donald J. Trump for President, Inc.","New York, New York",Political Campaign,Advance Site Lead (Independent Contractor),7/2016,11/2016
"Department of Education/Frendewey, Matthew",1,American Federation for Children,"Washington, District of Columbia",Education advocacy and nonprofit,National Communication s Director,4/2013,1/2017
"Department of Education/Ham, Holly",1,Hewlett Packard Enterprise,"Palo Alto, California",Corporation,Sales Executive,7/1998,7/2016
"Department of Education/Holden, Ron",1,Laurens' Kids,"Aventura, Florida",Non-Profit,Director of Advance,10/2016,11/2016
"Department of Education/Holden, Ron",2,Office of the Governor,"Trenton, New Jersey",State Government,Director of Briefings,1/2014,6/2015
"Department of Education/Hudson, Alexandra",1,Wisconsin Institute for Law & Liberty,"Milwaukee, Wisconsin",Non-Profit,Lead Education Policy Analyst,8/2015,7/2016
"Department of Education/Jones, Amy L",1,"Humana, Inc.","Louisville, Kentucky",Corporation,Project Manager,12/2008,2/2017
"Department of Education/Kossack, Andrew",1,"Richard M. Fairbanks Foundation, Inc.","Indianapolis, Indiana",Non-Profit,Senior Program Officer,10/2016,1/2017
"Department of Education/Kossack, Andrew",2,Indiana Department of Revenue,"Indianapolis, Indiana",State Government Agency,Commissioner,7/2015,9/2016
"Department of Education/Kossack, Andrew",3,Indiana Department of Revenue,"Indianapolis, Indiana",State Government Agency,Chief of Staff,1/2015,7/2015
"Department of Education/Lee, Ebony Letise",1,Bill & Melinda Gates Foundation,"Seattle, Washington",Non-Profit,Senior Program Officer,10/2007,2/2017
