file,#,source-name,city-state,brief-description-of-duties
"Department of Education/Brickman, Michael",1,Luntz Global Partners,"Manassas, Virginia",Senior Project Director
"Department of Education/Brickman, Michael",2,John Humphries for Schools,"Mount Horeb, Wisconsin",Communications Consulting
"Department of Education/Brickman, Michael",3,National Party of New South Wales,"Sydney, Outside U.S.",Communications Consulting
"Department of Education/Brickman, Michael",4,Thomas B. Fordham Institute,"Washington, District of Columbia",National Policy Director
"Department of Education/Chamberlain, Michael",1,BattleGround LLC,"Las Vegas, Nevada",Provide campaign consulting and management services and social media services.
"Department of Education/Chamberlain, Michael",2,CH Media LLC,"Las Vegas, Nevada","Provide web design and social media services, including producing content for websites and social media platforms."
"Department of Education/Chamberlain, Michael",3,"Donald J. Trump for President, Inc.","New York City, New York",Provided services as Nevada Communications Director.
"Department of Education/Cox-Roush, Deborah",1,58th Presidential Inaugural Committee,"Washington DC, District of Columbia","Assistant Director Public Events, Volunteers 58th Presidential Inaugural Committee"
"Department of Education/Cox-Roush, Deborah",2,"C&L Creative Solutions of Florida, LLC d/b/a DCR Creative Solutions of Florida","Lithia, Florida",Managing Member
"Department of Education/Cox-Roush, Deborah",3,Conversa Company,"Tampa, Florida",consulting services (client of DCR Creative Solutions of Florida)
"Department of Education/Cox-Roush, Deborah",4,Job Creators Network,"Tampa, Florida",consulting services (client of DCR Creative Solutions of Florida)
"Department of Education/Cox-Roush, Deborah",5,Women's Conference of Florida 2016,"Tampa, Florida",consulting services (client of DCR Creative Solutions of Florida)
"Department of Education/Cox-Roush, Deborah",6,"Donald J. Trump for President, Inc.","Orlando, Florida",Florida State Grassroots Director
"Department of Education/Cox-Roush, Deborah",7,Republican National Committee,"Cleveland, Ohio","Staffing and Volunteer Manager, Republican National Convention"
"Department of Education/Delahunty, Sarah",1,National Republican Senatorial Committee,"Washington, District of Columbia",Finance Coordinator
"Department of Education/Delahunty, Sarah",2,Jeb Bush 2016 Campaign Committee,"Miami, Florida",Regional Finance Coordinator - West
"Department of Education/Eck, Kevin",1,Uber,"Carmel, Indiana",For services as an Uber Partner/Driver.
"Department of Education/Eck, Kevin",2,"Donald J. Trump for President, Inc.","New York, New York",For services as an Advance Site Lead.
"Department of Education/Frendewey, Matthew",1,American Federation for Children,"Washington, District of Columbia",National Communications Director
"Department of Education/Ham, Holly",1,Hewlett Packard Enterprise,"Palo Alto, California",The Sales Executive has accountability for a set quota for business development with new and recurring sales. This role focused on clients and sales in the Energy sector in North America.
"Department of Education/Holden, Ron",1,Chris Christie for President,"Morristown, New Jersey",Director of Briefings; Advance Lead.
"Department of Education/Holden, Ron",2,Lauren's Kids Foundation,"Aventura, Florida",Advance
"Department of Education/Holden, Ron",3,Presidential Inaugural Committee,"Washington, District of Columbia","Deputy Associate Director of Transportation, Swearing-In"
"Department of Education/Holden, Ron",4,Office of the Governor,"Trenton, New Jersey",Director of Briefings
"Department of Education/Hudson, Alexandra",1,Wisconsin Institute for Law and Liberty,"Milwaukee, Wisconsin",Lead Education Policy Analyst -researched and reported on education- related issues in the State of Wisconsin
"Department of Education/Jones, Amy L",1,"Humana, Inc.","Louisville, Kentucky",Project Manager
"Department of Education/Kossack, Andrew",1,State of Indiana,"Indianapolis, Indiana",Commissioner (July 2015 - October 2016) and Chief of Staff (January 2015 - July 2015) of the Indiana Department of Revenue.
"Department of Education/Kossack, Andrew",2,"Richard M. Fairbanks Foundation, Inc.","Indianapolis, Indiana","Senior Program Officer, responsible for developing strategies to maximize annual grants to non-profits"
"Department of Education/Lee, Ebony Letise",1,Bill & Melinda Gates Foundation,"Seattle, Washington",Manage a portfolio of K-12 grants
"Department of Education/Manning, James",1,USA FUNDS,"INDIANAPOLIS, Indiana",CONSULTED ON THE ISSUES OF THE FEDERAL FAMILY EDUCATION LOAN PROGRAM AND HIGHER EDUCATION DATA ANALYTICS.
"Department of Education/Oberlies, Michael",1,NRCC,"Washington, District of Columbia",Analyst
"Department of Education/Reynolds, Cody",1,"Donald J. Trump for President, Inc.","Carmel, Indiana",I served as the Deputy State Director for the campaign in Indiana.
"Department of Education/Reynolds, Cody",2,"Grand Tots, Inc.","Cedar Lake, Indiana",Development Officer
"Department of Education/Ruddock, Neil",1,Foundation for Excellence in Education,"Tallahassee, Florida",Regional Advocacy Director
"Department of Education/Ruddock, Neil",2,Excellence in Education National d/b/a Excellence in Education in Action,"Tallahassee, Florida",Regional Advocacy Director
"Department of Education/Shaheen, Patrick",1,New Hampshire Republican State Committee,"Concord, New Hampshire",Field staffer on political campaign.
"Department of Education/Shaheen, Patrick",2,Americans for Prosperity Foundation,"Manchester, New Hampshire",Field staffer at non-profit.
"Department of Education/Ventimiglia, Eric",1,Michigan House of Representatives,"Lansing, Michigan",Supervise constituent relations staff.
"Department of Education/Young, Patrick",1,Onyx AV,"Arlington, Virginia","Project and Operations Management for company's Washington, DC metropolitan business"
"Department of Education/Young, Patrick",2,2017 Presidential Inaugural Committee,"Washington DC, District of Columbia","Manager, Public Events and Lincoln Memorial project lead.  Responsible for management of Inaugural Parade, Mall events and Lincoln Memorial Welcome event."
"Department of Education/Young, Patrick",3,Event Strategies Inc,"Alexandria, Virginia",Freelance project management
"Department of Housing and Urban Development/Barton, Victoria",1,"JMJ Development, INC","Dallas, Texas",Office Manager
"Department of Housing and Urban Development/Barton, Victoria",2,"Donald J. Trump for President, INC","New York, New York","Field Director in multiple states including Ohio, Wisconsin, Indiana, Nebraska, California."
"Department of Housing and Urban Development/Barton, Victoria",3,Ohio Republican Party,"Columbus, Ohio",Ohio Director of Millennial Outreach
"Department of Housing and Urban Development/Barton, Victoria",4,58th Presidential Inaugural Committee,"Washington, District of Columbia","Public Liaison Office, Millennial Outreach"
"Department of Housing and Urban Development/Bass, Deidre",1,Bass Public Affairs - Carson America,"Alexandria, Virginia",Media relations support
"Department of Housing and Urban Development/Bass, Deidre",2,Bass Public Affairs - Medicaid Health Plans of America,"Washington, District of Columbia",Media relations support
"Department of Housing and Urban Development/Bass, Deidre",3,Bass Public Affairs - Concerned Women for America,"Washington, District of Columbia",Media relations support
"Department of Housing and Urban Development/Bowes, Robert",1,"Donald J. Trump for President, Inc.","New York, New York","I was employed by Donald J. Trump for President, Inc. during 2016 as a Field Director on the presidential campaign."
"Department of Housing and Urban Development/Coffey, Alexander",1,"Donald J Trump for President, Inc.","New York, New York","Coalition Director in Florida.  Developed and directed field operations statewide in over 11 cities overseeing approximately 22,000 people."
"Department of Housing and Urban Development/Holderfield, Stephanie",1,413 Consulting,"Mahomet, Illinois","Illinois State Director for Ben Carson for President, campaign related for political purposes."
"Department of Housing and Urban Development/Holderfield, Stephanie",2,Champaign County Realtor Association,"Champaign, Illinois","Real estate agent, 3 transactions in 2015"
"Department of Housing and Urban Development/Holderfield, Stephanie",3,Media Consulting,"Urbana, Illinois",Media consulting for advertising management for Tatman's Towing Company.
"Department of Housing and Urban Development/Holderfield, Stephanie",4,Donald Trump for President,"New York, New York","Illinois State Director for Donald Trump for President, campaign related for political purposes."
"Department of Housing and Urban Development/Hughes, Andrew",1,The University of Texas System,"Washington, District of Columbia",
"Department of Housing and Urban Development/Hughes, Andrew",2,Ben Carson for America,"Alexandria, Virginia",Deputy National Field Director
"Department of Housing and Urban Development/Kasper, Maren",1,Roofstock,"Oakland, California",Director
"Department of Housing and Urban Development/Kasper, Maren",2,B2R Finance,"San Francisco, California",Investment Associate
"Department of Housing and Urban Development/Kasper, Maren",3,Wells Fargo,"San Francisco, California",Associate
"Department of Housing and Urban Development/McCall, Jonathan",1,Carson America,"Alexandria, Virginia",Iowa Field Director for Dr. Carson's Presidential Campaign
"Department of Housing and Urban Development/McCall, Jonathan",2,Texans for Greg Abbott,"Austin, Texas",Regional Director for Governor Abbott's Campaign
"Department of Housing and Urban Development/Patton, Lynne",1,The Trump Organization,"New York, New York",Vice President & Senior Family Aide
"Department of Housing and Urban Development/Petty, Timothy",1,"Vitamin Shoppe Industries, Inc.","North Bergen, New Jersey",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",2,State of New Jersey,"Trenton, New Jersey",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",3,Aaron's Inc.,"Atlanta, Georgia",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",4,Gloucester Township,"Gloucester Township, New Jersey",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",5,Bass Pro Shops,"Springfield, Missouri",Legal services (client of Gibbons P.C.)
