file,#,description,eif,value,income-type,income-amount
"Department of Defense/Scher, Robert",1,Pentagon Federal Credit Money Market,N/A,"$1,001 - $15,000",Interest,None (or less than $201)
"Department of Defense/Scher, Robert",2,RBC Wealth Management Account,,,,None (or less than $201)
"Department of Defense/Scher, Robert",2.1,RBC Bank Deposit Program,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",2.2,Fidelity Adv New Insights CL C,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",2.3,New Perspective Fund Inc CL C,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",2.4,Doubleline Income Solutions FD COM,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Defense/Scher, Robert",2.5,American Balanced Fund INC CL C,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",2.6,Blackrock Global Allocation FD INC CL C,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",2.7,National Retail Properties INC,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",3,(DC) Charles Schwab 529 Portfolio- Moderately Aggressive,Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Department of Defense/Scher, Robert",4,Morgan Stanley Account,,,,None (or less than $201)
"Department of Defense/Scher, Robert",4.1,Williams Sonoma,No,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",4.2,Invesco Amer Francises A,Yes,"None (or less than $1,001)",,None (or less than $201)
"Department of Defense/Scher, Robert",5,TD Ameritrade Account,,,,None (or less than $201)
"Department of Defense/Scher, Robert",5.1,CarMax (KMX),N/A,"None (or less than $1,001)",,None (or less than $201)
"Department of Defense/Scher, Robert",5.2,TD Ameritrade Cash,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",6,RBC Wealth Management IRA,,,,None (or less than $201)
"Department of Defense/Scher, Robert",6.1,Fidelity Adv New Insights CL C,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",6.2,Blackrock Global Allocation FD--IRA,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",6.3,RBC Bank Deposit Program,N/A,"None (or less than $1,001)",,None (or less than $201)
"Department of Education/Brickman, Michael",1,Schwab Fundamental Emerg Mkts Lg Co ETF (FNDE),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",2,Schwab Fundamental Intl Lg Co ETF (FNDF),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",3,Schwab Fundamental Intl Sm Co ETF (FNDC),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",4,Schwab Fundamental US Large Company ETF (FNDX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",5,Schwab Fundamental US Small Company ETF (FNDA),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",6,Schwab International Equity ETF (SCHF),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",7,Schwab US Large-Cap ETF (SCHX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",8,Schwab US Small-Cap ETF (SCHA),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",9,Microsoft Corporation (MSFT),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",10,Oracle Corporation (ORCL),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",11,U.S. Bancorp (USB),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",12,Schwab US Mid-Cap ETF (SCHM),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",13,United States 12 Month Oil (USL),N/A,"$1,001 - $15,000",,None (or less than $201)
